id,lat,lon,user,uid,version,changeset,timestamp
196619425,43.1587439,-87.9188391,ItalianMustache,1743198,6,38074516,2016-03-25T23:23:27Z
196619506,42.9813706,-88.0496467,Gary Cox,383843,3,7037618,2011-01-21T07:44:55Z
196619557,43.1818367,-88.0044987,LocalTrailgeek,336222,7,36089981,2015-12-21T16:41:30Z
196619647,42.9241529,-88.0114177,whammypower788,108601,3,4014225,2010-03-02T04:24:18Z
196619724,42.9528412,-87.9792742,noliver,91568,3,18220745,2013-10-06T21:27:39Z
196619770,42.9622317,-88.0114383,Tom Layo,280679,5,8862094,2011-07-29T11:39:34Z
196619889,42.9472744,-87.9951214,whammypower788,108601,3,8109920,2011-05-11T08:32:49Z
196619954,43.0027009,-88.0388258,LocalTrailgeek,336222,9,36765234,2016-01-23T20:18:58Z
196620042,42.921057,-87.8482876,maxerickson,360392,3,18861457,2013-11-12T19:29:59Z
196620139,42.9488378,-87.956728,Gary Cox,383843,3,7291216,2011-02-15T01:42:09Z
196620202,42.9282564,-87.9446227,roadyote,652345,4,43314647,2016-10-31T21:56:59Z
196620315,43.0889918,-88.0612631,Gary Cox,383843,5,8213731,2011-05-22T09:03:36Z
196620391,43.118638,-87.9673889,GIS_Analyst_Ben,236820,4,3959959,2010-02-24T04:28:16Z
196620502,42.9621585,-87.962006,be9110,23999,5,4233995,2010-03-25T23:41:09Z
196620589,42.9784716,-88.0386582,be9110,23999,4,4233995,2010-03-25T23:18:20Z
196620663,43.1198861,-88.035549,maxerickson,360392,7,18611634,2013-10-30T04:35:43Z
196620769,43.1012108,-88.0584383,Hawke,979,6,6789439,2010-12-28T16:21:40Z
196620876,43.088691,-88.0594947,RichRico,2219338,5,45226955,2017-01-16T21:05:03Z
196621035,43.0326557,-87.9589856,Gary Cox,383843,4,7511474,2011-03-10T07:48:57Z
196621103,42.9466325,-87.9995554,maxerickson,360392,3,18645362,2013-11-01T01:29:44Z
196621162,42.9452788,-87.9110816,Gary Cox,383843,6,8307130,2011-06-01T04:03:31Z
196621261,43.0365505,-87.9025104,shuui,1952296,11,44026308,2016-11-29T06:26:41Z
196621370,42.9290137,-87.955635,ItalianMustache,1743198,4,37475734,2016-02-27T06:06:10Z
196621459,43.1843637,-88.0585749,Mulad,502142,4,19576757,2013-12-22T05:21:24Z
196621533,42.9377396,-87.9350182,Skybunny,1751737,12,33085348,2015-08-03T23:37:32Z
196621601,43.0786406,-88.0583343,Skybunny,1751737,7,32710666,2015-07-18T01:20:05Z
196621731,42.9836076,-88.0489226,Gary Cox,383843,3,7037618,2011-01-21T07:45:00Z
196621802,42.9303796,-87.9755627,Jason Lynch,12236,5,10640170,2012-02-10T03:52:56Z
196621909,42.9310973,-87.9932591,whammypower788,108601,4,3859138,2010-02-12T19:00:05Z
196621987,42.9157395,-88.0486253,ItalianMustache,1743198,5,44711822,2016-12-27T17:41:36Z
196622159,42.9818479,-87.9174535,Gary Cox,383843,4,8679680,2011-07-10T04:11:37Z
